operationtime,airline,flightnum,departureairport,arrivalairport,terminal,departure/arrival,origindate,codecontext,status_text,date,hour,weekday,is_weekend,route,status_group
2022-03-29 17:40:00,SF,4524,ALG,IST,1,Departure,2022-03-29,OFB,Departed,2022-03-29,17,1,False,ALG-IST,Departed
2022-03-30 20:40:00,SF,1123,HME,ALG,1,Arrival,2022-03-30,ONB,Arrived,2022-03-30,20,2,False,HME-ALG,Arrived
2022-03-29 07:30:00,SF,1100,ALG,HME,1,Departure,2022-03-29,OFB,Departed,2022-03-29,7,1,False,ALG-HME,Departed
2022-03-29 15:05:00,SF,1101,HME,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,15,1,False,HME-ALG,Arrived
2022-03-29 09:40:00,SF,1401,KRECHBA,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,9,1,False,KRECHBA-ALG,Arrived
2022-03-29 12:50:00,SF,1968,ALG,CZL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,12,1,False,ALG-CZL,Departed
2022-03-30 13:10:00,AH,6059,GJL,ALG,1,Arrival,2022-03-30,ONB,Arrived,2022-03-30,13,2,False,GJL-ALG,Arrived
2022-03-29 16:15:00,SF,2111,CZL,ALG,1,Arrival,2022-03-29,DX,Cancelled,2022-03-29,16,1,False,CZL-ALG,Cancelled
2022-03-30 07:00:00,SF,1100,ALG,HME,1,Departure,2022-03-30,OFB,Departed,2022-03-30,7,2,False,ALG-HME,Departed
2022-03-30 09:40:00,SF,1120,ALG,HME,1,Departure,2022-03-30,OFB,Departed,2022-03-30,9,2,False,ALG-HME,Departed
2022-03-30 13:00:00,KLJ,4444,ALG,CMN,4,Departure,2022-03-30,OFB,Departed,2022-03-30,13,2,False,ALG-CMN,Departed
2022-03-30 08:49:00,TO,7262,ORY,ALG,4,Arrival,2022-03-30,ONB,Arrived,2022-03-30,8,2,False,ORY-ALG,Arrived
2022-03-30 10:09:00,TO,7263,ALG,ORY,4,Departure,2022-03-30,OFB,Departed,2022-03-30,10,2,False,ALG-ORY,Departed
2022-03-30 10:45:00,SF,1961,ORN,ALG,1,Arrival,2022-03-30,ONB,Arrived,2022-03-30,10,2,False,ORN-ALG,Arrived
2022-03-30 17:04:00,TO,7336,MPL,ALG,4,Arrival,2022-03-30,ONB,Arrived,2022-03-30,17,2,False,MPL-ALG,Arrived
2022-03-30 18:50:00,TO,7337,ALG,MPL,4,Departure,2022-03-30,OFB,Departed,2022-03-30,18,2,False,ALG-MPL,Departed
2022-03-30 17:20:00,SF,1321,IAM,ALG,1,Arrival,2022-03-30,ONB,Arrived,2022-03-30,17,2,False,IAM-ALG,Arrived
2022-03-30 16:05:00,SF,2203,ORN,ALG,1,Arrival,2022-03-30,ONB,Arrived,2022-03-30,16,2,False,ORN-ALG,Arrived
2022-03-30 16:45:00,AH,6144,ALG,AZR,1,Departure,2022-03-30,DEL,Delayed,2022-03-30,16,2,False,ALG-AZR,Delayed
2022-03-30 10:00:00,AH,3016,ALG,IST,4,Departure,2022-03-30,OFB,Departed,2022-03-30,10,2,False,ALG-IST,Departed
