Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-27 14:15:00,AH,6100,ALG,ORN,1,Departure,2024-05-27,OFB
2024-05-27 14:15:00,AH,1040,ALG,NCE,4,Departure,2024-05-27,OFB
2024-05-27 13:15:00,AH,1214,ALG,CDG,4,Departure,2024-05-27,OFB
2024-05-27 18:45:00,AH,1230,ALG,CDG,4,Departure,2024-05-27,OFB
2024-05-27 19:30:00,AH,4014,ALG,NKC,4,Departure,2024-05-27,OFB
2024-05-27 16:25:00,AH,6132,ALG,CBH,1,Departure,2024-05-27,OFB
2024-05-27 7:00:00,AH,6180,ALG,ORN,1,Departure,2024-05-27,GCL
2024-05-27 12:00:00,AH,6252,ALG,ELU,1,Departure,2024-05-27,OFB
2024-05-27 9:20:00,AH,6250,ALG,ELU,1,Departure,2024-05-27,OFB
2024-05-27 8:00:00,AH,6266,ALG,TGR,1,Departure,2024-05-27,OFB
2024-05-27 22:10:00,AH,6294,ALG,DJG,1,Departure,2024-05-27,GCL
2024-05-27 7:30:00,AH,6304,ALG,OGX,1,Departure,2024-05-27,OFB
2024-05-27 11:00:00,AH,6476,ALG,EBH,1,Departure,2024-05-27,OFB
2024-05-27 21:45:00,AH,6195,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 9:43:00,AH,6201,GHA,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 10:55:00,AH,2062,ALG,BRU,4,Departure,2024-05-27,OFB
2024-05-27 9:40:00,AH,3016,ALG,IST,4,Departure,2024-05-27,OFB
2024-05-27 22:10:00,AH,3018,ALG,IST,4,Departure,2024-05-27,OFB
2024-05-27 7:10:00,AH,4000,ALG,TUN,4,Departure,2024-05-27,OFB
2024-05-27 16:00:00,AH,6058,ALG,GJL,1,Departure,2024-05-27,OFB
2024-05-27 21:25:00,AH,6106,ALG,ORN,1,Departure,2024-05-27,OFB
2024-05-26 6:55:00,TO,777,ORY,ALG,4,Arrival,2024-05-26,ONB
2024-05-27 13:20:00,AH,1020,ALG,MRS,4,Departure,2024-05-27,OFB
2024-05-27 9:40:00,AH,1022,ALG,MRS,4,Departure,2024-05-27,OFB
2024-05-27 16:20:00,AH,1032,ALG,LYS,4,Departure,2024-05-27,OFB
2024-05-27 15:20:00,AH,6156,ALG,TMX,1,Departure,2024-05-27,OFB
2024-05-27 16:00:00,AH,6218,ALG,OGX,1,Departure,2024-05-27,GCL
